url,type
virtualtourist.com/travel/North_America/Canada/Province_of_Quebec/Quebec-905108/Restaurants-Quebec-Restaurant_LAstral-BR-1.html,benign
anime247.net/anime-clothing/,benign
http://skyrock.com/videos/eDJwc2lndzoxMw==-Planete-Rap-special-Sneazzy-SUPER.html?top=3&period=recent,benign
facebook.com/pages/Mikes-Restaurant/139000259469369,benign
www.vipslimo.com/fleet/scap/,benign
matsonperformancegroup.com/MILLENNIUM_2200.htm,benign
en.wikipedia.org/wiki/List_of_Playboy_Playmates_of_1971,benign
myspace.com/ernestozavalamusic,benign
turquoisedirect.com/Artists/Harry-H-Begay/,benign
haagendazs.com/company/faq/shops.aspx,benign
brooklynvegan.com/archives/2009/08/revival_tour_20.html,benign
mylife.com/c-353768830,benign
sourceforge.net/projects/makedep,phishing
infinitypage.com/pv-arashi-September-14-2010.html,benign
https://tinyurl.com/sd9t35n/?cliente=multiconexoes@terra.com.br/JHYYW8HLAC3S5AO9R7MR22FE/imprimir.cgi,phishing
ehow.com/how_4693722_execute-buzz-turns-tap-dancing.html,benign
fold3.com/spotlight/9069/jack_johnson_defeats_james_j_jeffries/,benign
nytimes.com/1987/07/04/obituaries/king-donovan-is-dead-at-69-theater-film-and-tv-actor.html,benign
zwiie.com/,benign
leoawards.com/nominees_2009.html,benign
en.wikipedia.org/wiki/USS_Natchez,benign
www.exportbureau.com/dictionary.html,phishing
http://mylust.com/videos/236028/extremely-hot-webcam-model-in-fishnet-stockings-loves-masturbating/,benign
'punto.gt/Aol/login.php?sitedomain=startpage.aol.com&amp;siteState=OrigUrl=http\%3A\%2F\%2Faol.com\%2F&amp;authLev=0&amp;lang=en&amp;locale=us',benign
menuism.com/restaurants/griffintown-cafe-dining-montreal-574247,benign
lyricstime.com/arashi-lyrics.html,benign
paypal.co.uk-uk.cgi-bin-webscr-cmd.login-submit-dispatch.5.5885d80a13c0db1f8e263663d3faee8d.13c0db1f8e263663d3faee8d422be6d275c375a45775a45.outmp.542456.celticwildhunt.blaineyoung.co.uk/,benign
residencepiacenza.com/english/,benign
pastehtml.com/view/bfn5sjmqn.html,benign
facebook.com/ShakerHeights,benign
portal.acm.org/browse_dl.cfm?linked=1&amp;part=series&amp;idx=SERIES521&amp;coll=portal&amp;dl=ACM,phishing
freepages.genealogy.rootsweb.ancestry.com/~dphaner/HTML/people/p000009r.htm,benign
turkeyfryer.net/,benign
croonet.com/start/G_MTYwNzIwMQ%3D%3D/,benign
https://aprendiendotodos.com/secure/help/b1482/,phishing
indevsoftware.com/products/palm/readers/,phishing
youtube.com/watch?v=sPnnacRzI8s,benign
ehow.com/list_6122271_seafood-monmouth-county_-new-jersey.html,benign
proz.com/kudoz/romanian_to_english/certificates_diplomas_licenses_cvs/2650736-denumirea_domeniului_de_formare_profesionala_la_ciclul_i.html,benign
https://lootluck.tk/,phishing
quebec.duproprio.com/duplex-for-sale-mercier-hochelaga-maisonneuve-quebec-en-243032,benign
tools.ietf.org/html/rfc266,phishing
dramafans.org/drama/hyunhaetan_marriage_war,benign
saveursdugourmet.cd/answer/webscr.htm,benign
kkbyrd.000webhostapp.com,phishing
danielandiontafalla.es/media/system/www.mybsn.com.my/login.php,benign
americanmusicchannel.com/artists/frank-sinatra,benign
facebook.com/pages/Tom-Pernice-Jr/132361366801808,benign
maumauspielen.review,phishing
http://www.trezzle.com/wp-includes/js/tinymce/themes/advanced/css/signingin.php?screenid=signon&amp;;,phishing
sfhsnet.org/top/press/press0607.htm,benign
http://distractify.com/post/related/id/5492fe334a0c4b9f1e9cc4d4/skip/10/limit/10/back/0,benign
fanbase.com/Kansas-City-Athletics-1957,benign
mylife.com/high-schools/mo/kansas-city/archbishop-o%27hara-high-school/,benign
http://torcache.net/torrent/5B97D684AD43077D4CAE3BC7F6D82E8857C74BF4.torrent?title=[kickass.to]avg.internet.security.2015.15.0.5576.serial.techtools,benign
facebook.com/event.php?eid=356538871268,benign
en.wikipedia.org/wiki/Joe_Aull,benign
magentofa.com,phishing
www.stagecast.com/cgi-bin/templator.cgi?PAGE=Corporate/presentations/ACM_PANEL_TESLER/,phishing
the-light.com/colclick.html,phishing
http://otomoto.pl/osobowe/jeep/grand-cherokee/iii-2005-2010/?search%5Bfilter_enum_country_origin%5D%5B0%5D=cdn,benign
ecupirates.com/sports/m-baskbl/mtt/lebo_jeff00.html,benign
sports.espn.go.com/espn/wire?section=nhl&id=3426676,benign
geometry.net/detail/celebrities/bujold_genevieve.html,benign
rsssf.com/tablesb/bocajuniors.html,benign
http://pastehtml.com/view/bg4d1z4vi.html,phishing
http://65.60.51.66/~direcion/arqA/htmls/www.casasbahia.com.br/CentraldeAtendimento/atendimento.html,phishing
pipl.com/directory/name/Townley/Pat,benign
myspace.com/aimless,benign
en.wikipedia.org/wiki/CFTU-TV,benign
www.wetterklima.de/cams/usamap.htm,phishing
http://handmadebyamber.ca/wp-includes/js/made-in-china,phishing
hfboards.com/archive/index.php/t-598959.html,benign
http://www.docmate.org/eroi/fox/dropbox/,phishing
https://services.runescape.com-m.cc/,phishing
myspace.com/colmanbrothers,benign
travel.yahoo.com/p-travelguide-2803241-momesso_montreal-i,benign
dreamsavedo.com/,benign
