domain_in_ip,length_url,url_shortened,qty_at_url,qty_dot_domain,tls_ssl_certificate,qty_hyphen_domain,url_google_index,domain_google_index,time_domain_activation,time_domain_expiration,phishing
0,239,0,0,0,0,0,1,1,-1,-1,1
0,51,0,1,1,1,0,0,0,2652,1365,1
0,23,0,0,2,0,0,0,1,6559,379,0
0,16,0,0,2,0,0,0,1,5377,135,0
0,124,0,1,1,0,0,0,0,4269,113,1
0,238,0,1,1,0,0,0,0,4513,234,1
0,90,0,1,2,1,0,0,0,-1,-1,1
0,14,0,0,1,1,0,-1,0,3121,165,0
0,122,0,1,1,0,0,0,0,4950,527,1
0,70,0,1,2,1,1,0,0,6289,650,1
0,66,0,1,1,0,0,0,0,505,224,1
0,35,0,1,1,0,0,0,0,1864,1057,1
0,40,1,0,1,1,0,0,0,-1,-1,1
0,129,0,1,4,0,6,0,0,-1,-1,1
1,35,0,0,3,0,0,0,0,-1,-1,1
0,197,0,1,2,0,0,0,0,1637,188,1
0,55,0,1,1,0,0,0,0,3246,56,1
0,155,0,1,2,0,0,0,0,4376,6,1
0,83,0,1,2,0,0,0,0,810,284,1
0,78,0,1,1,1,0,0,0,31,333,1
0,106,0,1,3,0,0,0,0,-1,-1,1
0,330,0,1,2,1,1,0,0,31,333,1
0,47,0,1,1,0,0,0,0,364,0,1
0,19,0,0,2,0,1,1,1,6707,231,0
0,531,0,1,2,1,0,0,0,-1,-1,1
0,12,1,0,1,1,0,0,0,1540,285,1
0,64,0,1,1,1,0,0,0,781,313,1
0,54,0,1,1,1,0,0,0,4311,436,1
0,62,0,1,1,0,1,0,0,1240,220,1
0,20,0,0,2,0,0,1,0,7544,110,0
1,28,0,0,3,0,0,0,0,-1,-1,1
0,24,0,0,2,1,0,1,0,5379,99,0
0,25,0,0,1,1,0,0,1,4090,292,0
0,28,0,0,2,0,0,-1,-1,-1,-1,0
0,199,0,1,2,0,0,0,0,1637,188,1
0,124,0,1,1,1,0,0,0,948,147,1
0,103,0,1,1,1,0,0,0,3137,149,1
0,282,0,1,1,1,0,0,0,3178,108,1
0,109,0,1,3,0,0,0,0,-1,-1,1
0,22,0,0,3,0,0,-1,-1,-1,-1,0
0,100,0,1,1,0,0,0,0,1405,55,1
0,58,0,1,1,1,0,0,0,2127,63,1
0,75,0,1,1,0,0,0,0,209,155,1
0,181,0,1,1,0,0,0,0,267,97,1
0,73,0,1,2,1,0,0,0,2946,340,1
0,87,0,1,1,0,0,0,0,2851,70,1
0,294,0,1,1,0,0,0,0,4882,230,1
0,74,0,1,1,1,0,0,0,2413,143,1
0,67,0,1,1,1,0,0,0,3761,1716,1
0,104,0,1,2,1,0,0,0,1798,27,1
0,289,0,1,2,0,0,0,0,-1,-1,1
0,51,0,1,1,1,0,0,0,7399,269,1
0,84,0,1,1,0,0,0,0,2925,361,1
0,63,0,1,2,1,0,0,0,792,302,1
0,72,0,1,1,1,0,0,0,2395,161,1
0,108,0,1,3,0,0,0,0,2305,250,1
0,52,0,1,1,0,0,0,0,1075,385,1
1,30,0,0,3,0,0,0,0,-1,-1,1
0,82,0,1,1,0,0,0,0,1081,14,1
0,13,1,0,1,0,0,0,0,4818,122,1
0,118,0,1,2,0,0,0,0,-1,-1,1
0,61,0,1,1,0,0,0,0,1331,860,1
0,64,0,1,1,1,0,0,0,1497,328,1
0,13,1,0,1,1,0,0,0,3805,211,1
0,11,0,0,2,1,0,0,1,9059,435,0
0,62,0,1,3,0,0,0,0,-1,-1,1
0,268,0,1,0,0,0,0,0,-1,-1,1
0,44,0,1,2,1,0,0,0,-1,-1,1
0,119,0,1,1,0,0,0,0,568,161,1
0,16,1,0,1,1,0,0,0,4554,193,1
0,265,0,1,0,0,0,0,0,-1,-1,1
0,178,0,1,1,0,0,0,0,267,97,1
0,60,0,1,1,1,0,0,0,2652,1365,1
0,238,0,1,2,0,0,0,0,1488,337,1
0,103,0,1,2,0,0,0,0,290,74,1
0,59,0,1,2,0,0,0,0,1027,68,1
0,57,0,1,2,0,0,0,0,1229,231,1
0,15,0,0,2,0,0,1,1,7897,3425,0
0,13,1,0,1,1,0,0,0,1538,287,1
0,67,0,1,1,1,0,0,0,4770,342,1
1,14,0,0,3,0,0,0,0,-1,-1,1
0,18,0,0,2,0,0,1,0,6845,94,0
0,23,1,0,2,1,0,0,0,4556,191,1
0,54,0,1,1,1,0,0,0,700,29,1
0,11,1,0,1,1,0,0,1,-1,-1,1
0,273,0,2,1,0,0,0,0,-1,-1,1
