domain_in_ip,length_url,url_shortened,qty_at_url,qty_dot_domain,tls_ssl_certificate,qty_hyphen_domain,qty_underline_domain,url_google_index,domain_google_index,time_domain_activation,time_domain_expiration,phishing
0,61,0,0,2,0,0,0,0,0,-1,-1,1
0,17,0,0,2,1,0,0,0,0,-1,-1,0
0,40,0,0,1,0,0,0,0,0,1875,-1,1
0,124,0,0,1,0,1,0,0,0,184,180,1
0,18,0,0,2,0,0,0,0,0,-1,-1,0
0,22,0,0,2,0,0,0,0,0,6595,1804,0
0,16,0,0,2,0,0,0,0,0,5614,229,0
0,30,0,0,2,0,0,0,0,0,4656,91,1
0,26,0,0,2,0,1,0,0,0,-1,-1,1
0,22,0,0,4,0,0,0,0,0,8023,-1,0
0,24,0,0,1,0,0,0,0,0,2778,143,1
0,15,1,0,1,1,0,0,0,0,3047,238,1
0,17,0,0,2,1,0,0,0,0,4737,1106,0
0,12,0,0,1,1,0,0,0,0,6867,72,0
0,27,0,0,3,1,0,0,0,0,5750,457,0
0,38,0,0,1,1,0,0,0,0,8179,167,1
0,16,0,0,2,1,0,0,0,0,7175,1590,0
0,51,0,0,1,1,0,0,0,0,1186,274,1
0,22,0,0,2,0,0,0,0,0,3215,71,0
0,42,0,0,3,0,0,0,0,0,-1,-1,1
0,52,0,0,1,1,1,0,0,0,19,345,1
0,18,0,0,2,1,0,0,0,0,-1,-1,1
0,17,0,0,2,0,0,0,0,0,-1,-1,0
0,129,0,0,1,0,0,0,0,0,1819,6,1
0,17,0,0,2,0,0,0,0,0,6200,8,0
0,13,0,0,2,0,0,0,0,0,8325,439,0
0,13,0,0,1,0,0,0,0,0,-1,-1,1
0,27,0,0,1,1,0,0,0,0,1385,75,0
0,84,0,0,2,0,0,0,0,0,2642,1010,1
0,22,0,0,1,0,1,0,0,0,3015,271,0
0,114,0,0,2,1,0,0,0,0,7689,710,0
0,68,0,0,1,1,0,0,0,0,4299,1909,1
0,19,0,0,1,1,0,0,0,0,6902,1133,0
0,65,0,0,2,0,0,0,0,0,2293,-1,1
0,68,0,0,2,0,0,0,0,0,2102,88,1
0,27,0,0,2,0,0,0,0,0,1880,310,1
0,21,0,0,2,0,0,0,0,0,5747,1192,0
0,21,0,0,2,0,0,0,0,0,5890,318,0
0,19,0,0,1,1,0,0,0,0,49,315,1
0,22,0,0,2,1,0,0,0,0,6699,970,0
0,15,0,0,2,1,0,0,0,0,1485,1801,0
0,12,0,0,1,0,0,0,0,0,3375,276,0
0,13,0,0,2,1,0,0,0,0,4686,426,0
0,13,0,0,2,0,0,0,0,0,4771,341,0
0,24,0,0,2,1,0,0,0,0,-1,-1,0
0,17,0,0,2,1,0,0,0,0,4069,679,0
0,32,0,0,2,0,0,0,0,0,3056,596,1
0,27,0,0,2,0,0,0,0,0,6360,213,0
0,25,0,0,3,0,0,0,0,0,-1,-1,0
0,17,0,0,2,0,0,0,0,0,3701,681,0
0,145,0,0,2,0,0,0,0,0,-1,-1,1
0,18,0,0,2,1,0,0,0,0,6573,18,0
0,22,0,0,1,0,0,0,0,0,3037,249,0
0,67,0,0,2,0,0,0,0,0,6916,388,1
0,16,0,0,2,0,0,0,0,0,-1,-1,0
0,22,0,0,3,0,0,0,0,0,-1,-1,0
0,15,0,0,1,0,0,0,0,0,1284,176,0
0,148,0,0,2,1,0,0,0,0,-1,-1,1
0,17,0,0,3,0,0,0,0,0,-1,-1,0
0,23,0,0,2,1,0,0,0,0,-1,-1,0
